matchNum,num1red,num1blue,num2red,num2blue,num3red,num3blue,redAmps,blueAmps,info
54,3,1,2,2,1,1,0,0," Red 1: 9448 : Offensive attack with very good shooting, shooting a lot of points
 Red 2: 8019 : Good drivetrain, really good shooter
 Red 3: 2789 : Alpha bot with okay driving and shooter
-------
Blue 1: 5103 Alpha bot with good manuvering and ok shooting
Blue 2: 5503: Blocking red robots 
Blue 3: 8827 Good ground intake with okay driving and 

Notes: "
,1,3,2,1,3,2,0,0,"Blue 1: 418 really good auto, very aggressive driving and shooting notes
Blue 2 : 2583 disabled for a lot of the game
Blue 3 : 5892 also very aggressive shooting with a also played a lot of defense 
Red 1 : 3802 alpha bot with drive train and not very good shooting
Red 2 : 8610 okay drivetrain with okay shooting
Red 3: 9418 very aggressive drivetrain and shooting


"
,3,1,1,1,1,3,0,0,"8749 is good drive train with janky shooter, 7138 is alpha bot and getting climb, 3561 is a swerve drive with aggresive shooting, 5894 is alpha bot with an okay shooter, 9664 didn't show up."
,1,2,2,3,1,2,0,0," Red 1: 9137 DISABLE
 Red 2: 6357 defense on pearadox and 8879 mostly DISABLE for a bit
 Red 3: 9506 weak shooter
-------
Blue 1: 8114 good rotations and good movement DISABLE
Blue 2: 5414 great shooter
Blue 3: 8879 kit bot with clunky movement

Notes: "
58,3,2,2,2,1,2,0,1," Red 1: 3847 perfect auto
 Red 2: 8507 passing robot
 Red 3: 8598 hitting own teamate and having trouble moving
-------
Blue 1: 6369 an do speaker but trouble coordination
Blue 2: 4610 amp scorer and bumper is high
Blue 3: 9054 defensive robot ok defense

Notes: "
59,1,2,2,2,2,1,0,0," Red 1: 9524 DISABLED
 Red 2: 4332 defense mostly ok def
 Red 3: 3679 trouble moving
-------
Blue 1: 5103 good rotation(about 15 sec)
Blue 2: 6155  movement but it isnt shooting good.
Blue 3: 4364 trouble really poor movement

Notes: "
60,2,2,2,1,3,3,1,0," Red 1: 5892 good defense trouble moving for a bit
 Red 2: 4717 movement troubles
 Red 3: 9418 good shooting
-------
Blue 1: 5503 okay shooting but long cycles
Blue 2: 9121 trouble shooting and DISABLED
Blue 3: 5052 good defense 

Notes: "
61,2,3,1,2,2,3,0,0," Red 1: 7183  ok defense
 Red 2: 9664 rickety robot
 Red 3: 2583 okay rotations and cycles
-------
Blue 1: 8918 good shots
Blue 2: 8749 defense mustly
Blue 3: 418 good at speaker 

Notes: "
62,1,3,1,2,1,1,0,0," Red 1: 8610 auto foul in ops territory 
 Red 2: 9140 NO SHOW
 Red 3: 3743 pushing notes unable to do much 
------- 
Blue 1: 5726 good shoot
Blue 2: 4597 okay
Blue 3: 9448 bad job with shooting and terrible movement

Notes: "
63,2,3,2,2,2,1,1,0,"Red 1: 8827  okay
Red 2: 5894 hang good and quick
Red 3: 3561 ok shooter but disconnected
---------
Blue 1: 3802 climbed and ver good
Blue 2: 2789 good defense
Blue 3: 8625 trouled scoring in amp"
,1,1,1,1,1,1,0,0,2583 is moving very awkward - lack of smooth movement makes it hard to move. 6155 is getting stuck on the chain once again. 5503 is doing pretty good defense against the robots. 
,1,1,1,1,1,1,0,0,6369 is having trouble taking shots in the first match. 9121 is having trouble picking up the notes. 
,1,1,1,1,1,1,0,0,"3847 driver does not seem to be doing that good in the morning matches. In this match, their note jammed. They may have a different driver today.

8598 is having trouble picking up the game pieces. Something may have disconnected for 3679. "
,2,1,3,2,1,2,2,1,8879 is having trouble moving. 9448 missed its shots and was unable to shoot into the speaker. 3561 is consistently able to cycle amps. 5103 has a very strong shooter and is able to shoot into the speaker. 
,3,2,1,3,2,1,0,0,"2789 has bad auto, same with 4332. 4332 slow handoff to shooter. 9524 can't move anymore after like 20 seconds. 7138 having trouble moving with 1:00 left. 4332 has bad ground pickup and notes get easily stuck. 7138, 8625, and 9524 were mostly immobile at the end and none could climb (all on red team)."
70,1,3,2,2,3,1,0,0,"8827 super slow movement. 5052 and 5894 have bad auto. 5894 playing very good defense. 5052 slowed down towards end. 9140 driver is kind of bad (running into things, etc)"
71,3,2,1,1,2,3,0,0,6155 trying to interfere with red. 9506 struggling to move. 8507 has trouble getting notes from human player station. 9137 driver is ramming their robots shooter into the wall (???) 9137 got a foul for pinning for more than 5 sec. 9121 is very fast at picking notes and bringing to speaker. 9137 picking up multiple notes at once.
72,1,3,2,1,3,2,0,1,5892 has good auto. 3847 has a crazy auto as usual (40pts). 6369 is immobile within 10 seconds of teleop. 3847 and 5892 had a collision. 5892 has VERY good defense. 2583 has poor human intake accuracy. 8749 having trouble with intake. 3847 has very consistent speaker notes.
73,2,1,1,3,3,2,0,1,"6357 can't move at all. 4364 moves in a weird circular pattern that's super slow. 3802 good at farming amp notes. 8019 good at pushing robots back. 8598 has consistent speaker shots, but has some trouble with ground intake."
74,1,2,3,3,2,1,1,0,"3561 has a bad intake that shoots it out of their robot vertically sometimes. 8625 has a slow handoff to the shooter. 5726 has a bad human intake. 9418 has consistent speaker shots in teleop. 4332 driver is slow. 3679 playing defensive, but not too well at it. 9418 dropped a note from their intake. 5726 trying to play defensive as well but its not good at it, which is bad considering their robot has a major portion built for defense."
75,2,2,1,1,3,3,1,0,"8610 got a foul in auto. 9664 has bad human intake. 8827's intake is dragging against the ground which is damaging it. 9140 going for notes in the amp, but is better at speaker.  8610 had bad defense. 4717 is having trouble moving towards the end."
76,2,2,1,1,1,2,0,0,"Red 1	5894	hang
Red 2	9524	bad
Red 3	4610	rocking up and down
Blue 1	9448	passing but big part off
Blue 2	5052	disabled for first half of match 
Blue 3	8114	good cycles"
77,2,2,2,1,2,2,0,0,"Red 1	3743	hung but pearodox hit them
Red 2	5103	good cycles
Red 3	5414	missed auto
Blue 1	7138	hang is good
Blue 2	2789	disabled for a bit
Blue 3	418     poor auto defense"
78,1,2,2,2,2,2,0,1,"Red 1	4364 no move in auto	and barely move
Red 2	5503	tried to stage but fail okay
Red 3	9506	okay at shooting
Blue 1	8879	okay overall
Blue 2	3847	missed all auto but recovered in teleop
Blue 3	9054	medium cycles"
79,1,2,2,1,2,2,0,0,"Red 1	8019	problems moving
Red 2	8598	shooter outake broke after collision
Red 3	8625	okay job
Blue 1	5726	park trouble moving effectively
Blue 2	8507	Movement issue
Blue 3	6357	vey slow at picking up notes"
80,2,1,3,2,3,3,0,0,"Red 1	9121	medium quick rotations
Red 2	9140	fast cycles
Red 3	5892	smooth avoiding obstacles
Blue 1	9664	weak shooter and rocking
Blue 2	6369	jittery
Blue 3	3802	hung and very very good
"
81,1,2,1,1,1,1,1,0,"Red 1	5052	trouble moving broken
Red 2	9137	trouble moving broken intake
Red 3	8749	rocking back and forth
Blue 1	8827	good at angled speaker
Blue 2	8610	not on and some mech problems
Blue 3	9524	 broken movement
"
82,1,3,1,1,2,2,1,0,"Red 1	9448	bumping into many things
Red 2	4332	movement problems
Red 3	5414	missed a bit in auto
Blue 1	3679	good shooting and cycle
Blue 2	3743	DISABLED
Blue 3	7138	okay defense and parked"
83,1,3,1,1,2,2,0,0,"Red 1	4597	issues movment
Red 2	5894	trouble turning
Red 3	8114	rickety
Blue 1	2583	GAME AWARNESS did not climb in order 
Blue 2	5103	DISABLED after auto
Blue 3	9418	issue movement
"
