davidd,15,9137,0,0,0,0,0,0,0,none,0,none,none,none,none,Robot was not on field,n,n
NimahA,15,9418,0,1,1,7,0,3,0,none,0,average,excellent,both,none,Very smooth and efficient. Was very quick. Really good robot. Scored majority of the points through speaker. ,n,n
Maddie D,15,8507,y,0,0,0,2,0,0,0,single,0,none,poor,human,none,"Kind of slow, consistently okay, but not a great scorer.",n
maryam a.,15,2789,y,0,0,0,0,0,1,0,park,0,none,poor,human,none,the robot had a note stuck inside/under it until 20 seconds left and then finally picked something up and missed,n
MAXB,15,2583,y,0,2,2,2,0,3,0,park,0,none,average,both,none,hit the wall a lot at the beggining of the match. was also alone. had trouble lining up with the human intake and the ground intake didn't work well. they had to push the note up against the wall in order to get it. design was probably a but to complex. had to move the intake out of the way everytime they tried to shoot so it slowed its  cycle,n
NimahA,16,4364,0,0,0,0,0,0,0,none,0,poor,poor,none,none,No notes scored. Had no intake. Poorly driven. ,n,n
Naina J,16,4610,0,0,0,0,0,1,2,none,0,none,poor,human,none,"missed speaker in auto. Red team blocked, so blue went for passed. ",n,n
Maddie D,16,8610,0,0,0,7,0,2,0,park,0,none,poor,ground,none,"Fast and consistent, turning mechanism could use some work.",n,n
maryam a.,16,8879,y,0,1,0,0,0,0,0,park,0,average,average,none,none,could not tell what the intake was because it spent the entire time just taking notes and moving them to their side (red). idk if that means passed notes,n
MAXB,16,5103,y,0,1,0,0,0,0,0,none,0,none,none,none,none,moved a bit then gave up and waited in the middle of the field,n
henryh,16,8749,0,0,0,7,0,3,0,single,0,poor,excellent,ground,none,"Great robot, but had some weird issues at the start; it started the autonomous phase by running directly into the wall and shooting out a note, then during the start of the teleop phase it had some issues driving, then tried to pick up a note, but the rollers were spinning the wrong way, so it launched the note really far.",n,n
henryh,16,8749,0,0,0,7,0,3,0,single,0,poor,excellent,ground,none,"Great robot, but had some weird issues at the start; it started the autonomous phase by running directly into the wall and shooting out a note, then during the start of the teleop phase it had some issues driving, then tried to pick up a note, but the rollers were spinning the wrong way, so it launched the note really far.",n,n
henryh,16,8749,0,0,0,7,0,3,0,single,0,poor,excellent,ground,none,"Great robot, but had some weird issues at the start; it started the autonomous phase by running directly into the wall and shooting out a note, then during the start of the teleop phase it had some issues driving, then tried to pick up a note, but the rollers were spinning the wrong way, so it launched the note really far.",n,n
henryh,16,8749,0,0,0,7,0,3,0,single,0,poor,excellent,ground,none,"Great robot, but had some weird issues at the start; it started the autonomous phase by running directly into the wall and shooting out a note, then during the start of the teleop phase it had some issues driving, then tried to pick up a note, but the rollers were spinning the wrong way, so it launched the note really far.",n,n
henryh,16,8749,0,0,0,7,0,3,0,single,0,poor,excellent,ground,none,"Great robot, but had some weird issues at the start; it started the autonomous phase by running directly into the wall and shooting out a note, then during the start of the teleop phase it had some issues driving, then tried to pick up a note, but the rollers were spinning the wrong way, so it launched the note really far.",n,n
henryh,16,8749,0,0,0,7,0,3,0,single,0,poor,excellent,ground,none,"Great robot, but had some weird issues at the start; it started the autonomous phase by running directly into the wall and shooting out a note, then during the start of the teleop phase it had some issues driving, then tried to pick up a note, but the rollers were spinning the wrong way, so it launched the note really far.",n,n
henryh,16,8749,0,0,0,7,0,3,0,single,0,poor,excellent,ground,none,"Great robot, but had some weird issues at the start; it started the autonomous phase by running directly into the wall and shooting out a note, then during the start of the teleop phase it had some issues driving, then tried to pick up a note, but the rollers were spinning the wrong way, so it launched the note really far.",n,n
henryh,16,8749,0,0,0,7,0,3,0,single,0,poor,excellent,ground,none,"Great robot, but had some weird issues at the start; it started the autonomous phase by running directly into the wall and shooting out a note, then during the start of the teleop phase it had some issues driving, then tried to pick up a note, but the rollers were spinning the wrong way, so it launched the note really far.",n,n
KeaganF,17,8625,0,0,0,0,0,0,0,none,0,none,none,none,none,Robot was not on field,n,n
NoamW,17,5726,0,0,0,0,0,0,0,none,0,excellent,average,none,none,"Only played defense. Did not even attempt to intake notes, got pushed around pretty easily",n,n
NoamW,17,5726,0,0,0,0,0,0,0,none,0,excellent,average,none,none,"Only played defense. Did not even attempt to intake notes, got pushed around pretty easily",n,n
NoamW,17,5726,0,0,0,0,0,0,0,none,0,excellent,average,none,none,"Only played defense. Did not even attempt to intake notes, got pushed around pretty easily",n,n
AT,17,9054,0,1,0,2,0,1,0,double,0,average,average,human,none,"Not very flexible but was very accurate in the amp, pretty slow but was ok. ",n,n
NoamW,17,5726,0,0,0,0,0,0,0,none,0,excellent,average,none,none,"Only played defense. Did not even attempt to intake notes, got pushed around pretty easily",n,n
JackN,17,3743,y,0,1,0,1,0,3,0,none,0,none,poor,human,none,The driver was extremly bad. The driver literally drove away while the human player was feeding it the note. ,n
JackN,17,3743,y,0,1,0,1,0,3,0,none,0,none,poor,human,none,The driver was extremly bad. The driver literally drove away while the human player was feeding it the note. ,n
JackN,17,3743,y,0,1,0,1,0,3,0,none,0,none,poor,human,none,The driver was extremly bad. The driver literally drove away while the human player was feeding it the note. ,n
AJ,17,8019,y,0,0,0,0,0,2,0,double,0,average,average,human,none,8019 moved around for most of the round and blacked the opposing robot to allow for the other red robot to score more.,n
AJ,17,8019,y,0,0,0,0,0,2,0,double,0,average,average,human,none,8019 moved around for most of the round and blacked the opposing robot to allow for the other red robot to score more.,n
AJ,17,8019,y,0,0,0,0,0,2,0,double,0,average,average,human,none,8019 moved around for most of the round and blacked the opposing robot to allow for the other red robot to score more.,n
AJ,17,8019,y,0,0,0,0,0,2,0,double,0,average,average,human,none,8019 moved around for most of the round and blacked the opposing robot to allow for the other red robot to score more.,n
EstherK,17,8114,y,0,2,0,1,0,2,0,none,0,average,average,ground,none,The intake was unstable (not consistent) and scoring took a few seconds to aim and launch. ,n
KeaganF,18,8598,0,0,0,5,0,3,0,single,0,none,average,ground,none,Started out with only one shot during auto and missed. It then attempted to just shoot speaker with middling success. It can climb well. ,n,n
JackN,18,4717,y,0,0,5,0,1,1,0,none,0,poor,average,ground,none,The bot scored 5 in a row. Insane. It also played a little defence however that wasn't really the highlight. Highlight is that it has a good ground intake and good amp system.,n
AJ,18,7138,y,0,0,0,0,0,0,0,none,0,none,poor,human,none,7138 was very wonky when driving and could barely grab a not and did not make a single not in the goal as it missed by a very far distance every time. ,n
AT,18,3802,1,0,1,1,0,2,0,single,0,poor,average,human,none,"Not very effective, failed to even score at amp. Did manage to climb very well. I think it was not effective because it could only do human-player intake and had to traverse the entire field (it was also very slow) every time while still not being effective, meaning it moved back in forth multiple times without any beneficial outcome. ",n,n
NoamW,18,5894,y,0,0,0,0,0,2,0,single,0,y,none,poor,human,none,"Bad driving. Kept running into the field and moved around very slowly. Not great at aiming, took a while to align for a missed shot. Charged up for a good 5 seconds per shot."
